pixel_x,pixel_y,lon,lat,role,label
1637,2621,-60.8502393,46.5644902,control,C01
2470,1519,-60.8224424,46.592876,control,C02
2718,2181,-60.8008441,46.577578,control,C03
6412,1358,-60.6243848,46.603381,control,C04
8105,1243,-60.5444981,46.613151,control,C05
9180,1230,-60.4951989,46.6054415,control,C06
8998,5090,-60.4982369,46.4929531,control,C07
7697,5728,-60.5672062,46.4750837,control,C08
8866,5916,-60.498975,46.461201,control,C11
2262,4486,-60.792662,46.504338,control,C12
1644,3989,-60.8521388,46.524402,control,C13
7737,5774,-60.5663559,46.4737903,check,Q03
8132,1227,-60.5453039,46.6133825,check,V01
9157,1308,-60.4944953,46.603258,check,V02
2360,4598,-60.7898218,46.503375,check,V03
1932,3854,-60.841518,46.5273826,check,R02
