pixel_x,pixel_y,lon,lat,role,label
22475.360219847018,2317.257506374213,-61.261823,46.359252,control,IS01
26550.265948378557,18796.256148246193,-61.116114,45.956188,control,IS02
29480.281207520875,24630.699510526254,-61.013475,45.813973,control,IS05
27161.171952942354,27232.7185000896,-61.094899,45.750129,control,IS11
25528.333333333332,16921.666666666668,-61.15695012726067,46.00547877443053,control,IS18
14242.0,15411.0,-61.55277588257435,46.041197039390056,control,IS19
25405.0,9390.0,-61.155741795771256,46.18461876811554,control,IS15
27089.0,19113.0,-61.096414,45.947869,check,island-45-948n-61-096w
27426.0,22117.0,-61.085221,45.875068,check,island-45-875n-61-085w
28502.943103807476,25335.823361128474,-61.048998,45.796575,check,island-45-797n-61-049w
28257.0,25569.0,-61.057363,45.789666,check,island-45-790n-61-057w
27923.0,26740.0,-61.067626,45.761933,check,island-45-762n-61-068w
27417.0,26866.0,-61.083902,45.757304,check,island-45-757n-61-084w
