pixel_x,pixel_y,lon,lat,role,label
12438.0,6062.0,-60.69218351706861,46.914394796294225,control,N02
7343.0,11495.0,-60.87665740853486,46.796221073671845,control,N04
7948.0,25473.0,-60.895167054464686,46.4699988456567,control,I10
2858.0,20168.0,-61.05592939352159,46.6012181791636,control,I11
14346.0,920.0,-60.59836641693324,47.041967210032965,control,I14
10185.0,9021.0,-60.77645231881043,46.84832313189785,check,N03
8098.333333333333,24993.333333333332,-60.887602294371135,46.48394956195481,check,I13
5149,16391.666666666668,-60.96183307872383,46.68818138501545,check,I15
8918,21329,-60.85023931900273,46.564490214966796,check,I16
9403,22927,-60.83913929592003,46.52903319857015,check,I17
